epoch,accuracy,loss,val_accuracy,val_loss
0,0.4240243434906006,1.2984665632247925,0.3342939615249634,1.4024502038955688
1,0.7497923970222473,0.7841728329658508,0.2708933651447296,1.9258360862731934
2,0.8879047632217407,0.3489764630794525,0.29394811391830444,2.5318024158477783
3,0.9344035387039185,0.21441708505153656,0.3083573579788208,2.971137523651123
4,0.950179934501648,0.1562201976776123,0.2766570746898651,3.361726999282837
5,0.9645723700523376,0.12230154871940613,0.2795388996601105,3.724238157272339
6,0.9687240719795227,0.10282611846923828,0.2853025794029236,3.8950304985046387
7,0.973706066608429,0.08573583513498306,0.2853025794029236,4.147559642791748
8,0.973706066608429,0.08349430561065674,0.2853025794029236,4.347704887390137
9,0.9748131632804871,0.07583694905042648,0.29394811391830444,4.561185836791992
10,0.977027416229248,0.07071264833211899,0.2968299686908722,4.749676704406738
11,0.975089967250824,0.06964599341154099,0.29394811391830444,4.86766242980957
12,0.9784113168716431,0.05618919059634209,0.2824207544326782,4.999721527099609
13,0.9778577089309692,0.0619012825191021,0.2853025794029236,5.127342700958252
14,0.9784113168716431,0.058936867862939835,0.26801154017448425,5.266580581665039
15,0.9784113168716431,0.05805012956261635,0.29971182346343994,5.471152305603027
16,0.9775809645652771,0.055883076041936874,0.29971182346343994,5.5364298820495605
17,0.9781345129013062,0.05489971116185188,0.29971182346343994,5.543853282928467
18,0.9789648652076721,0.049217771738767624,0.2824207544326782,5.672850608825684
19,0.9803487658500671,0.045405033975839615,0.28818443417549133,5.874968528747559
20,0.9792416095733643,0.04945036768913269,0.2853025794029236,5.925046920776367
21,0.9811790585517883,0.0425659604370594,0.2910662889480591,6.009603977203369
22,0.9811790585517883,0.04559909552335739,0.2708933651447296,6.013397693634033
23,0.9786880612373352,0.046350862830877304,0.2968299686908722,6.227225303649902
24,0.9797951579093933,0.04389982298016548,0.2795388996601105,6.214079856872559
